Value,Correlation,Variable,Reference,Comparison
Unknown,0.5213,EECLASS,schizophrenia,lipid_metabolism
Salary Union,0.3662,EECLASS,schizophrenia,lipid_metabolism
Salary Other,0.4459,EECLASS,schizophrenia,lipid_metabolism
Hourly Other,0.3326,EECLASS,schizophrenia,lipid_metabolism
Active Full Time,-0.1753,EESTATU,schizophrenia,lipid_metabolism
Early Retiree,0.5484,EESTATU,schizophrenia,lipid_metabolism
Medicare Eligible Retiree,0.3911,EESTATU,schizophrenia,lipid_metabolism
COBRA Continuee,0.2277,EESTATU,schizophrenia,lipid_metabolism
Active Part Time or Seasonal,0.0597,EESTATU,schizophrenia,lipid_metabolism
Retiree (status unknown),0.387,EESTATU,schizophrenia,lipid_metabolism
Long Term Disability,0.4639,EESTATU,schizophrenia,lipid_metabolism
Surviving Spouse/Depend.,0.4513,EESTATU,schizophrenia,lipid_metabolism
Other/Unknown,0.0168,EESTATU,schizophrenia,lipid_metabolism
"Manufacturing, Durable Goods",0.6364,INDSTRY,schizophrenia,obesity
"Manufacturing, Nondurable Goods",0.3357,INDSTRY,schizophrenia,obesity
"Transportation, Communications, Utilities",0.6261,INDSTRY,schizophrenia,obesity
"Finance, Insurance, Real Estate",0.5482,INDSTRY,schizophrenia,obesity
Services,0.3556,INDSTRY,schizophrenia,obesity
"Oil & Gas Extraction, Mining",0.4343,INDSTRY,schizophrenia,obesity
Retail Trade,0.1853,INDSTRY,schizophrenia,obesity
"Agriculture, Forestry, Fishing",-0.02,INDSTRY,schizophrenia,obesity
Construction,0.3923,INDSTRY,schizophrenia,obesity
Wholesale,0.0661,INDSTRY,schizophrenia,obesity
Salary Non-union,0.2473,EECLASS,schizophrenia,obesity
Hourly Non-union,0.2657,EECLASS,schizophrenia,obesity
Hourly Union,0.4983,EECLASS,schizophrenia,obesity
Non-union,0.3637,EECLASS,schizophrenia,obesity
Union,0.5314,EECLASS,schizophrenia,obesity
Unknown,0.4031,EECLASS,schizophrenia,obesity
Salary Union,0.4975,EECLASS,schizophrenia,obesity
Salary Other,0.3825,EECLASS,schizophrenia,obesity
Hourly Other,0.2735,EECLASS,schizophrenia,obesity
Active Full Time,-0.1346,EESTATU,schizophrenia,obesity
Early Retiree,0.6322,EESTATU,schizophrenia,obesity
Medicare Eligible Retiree,0.4876,EESTATU,schizophrenia,obesity
COBRA Continuee,0.2808,EESTATU,schizophrenia,obesity
Active Part Time or Seasonal,0.3464,EESTATU,schizophrenia,obesity
Retiree (status unknown),0.3742,EESTATU,schizophrenia,obesity
Long Term Disability,0.2548,EESTATU,schizophrenia,obesity
Surviving Spouse/Depend.,0.5536,EESTATU,schizophrenia,obesity
Other/Unknown,0.2453,EESTATU,schizophrenia,obesity
"Manufacturing, Durable Goods",0.2471,INDSTRY,schizophrenia,suicide
"Manufacturing, Nondurable Goods",0.3102,INDSTRY,schizophrenia,suicide
"Transportation, Communications, Utilities",0.1978,INDSTRY,schizophrenia,suicide
"Finance, Insurance, Real Estate",0.214,INDSTRY,schizophrenia,suicide
Services,0.1853,INDSTRY,schizophrenia,suicide
"Oil & Gas Extraction, Mining",0.3615,INDSTRY,schizophrenia,suicide
Retail Trade,0.30620000000000003,INDSTRY,schizophrenia,suicide
"Agriculture, Forestry, Fishing",NA,INDSTRY,schizophrenia,suicide
Construction,0.7141,INDSTRY,schizophrenia,suicide
Wholesale,-0.0589,INDSTRY,schizophrenia,suicide
Salary Non-union,0.4498,EECLASS,schizophrenia,suicide
Hourly Non-union,0.1033,EECLASS,schizophrenia,suicide
Hourly Union,0.3075,EECLASS,schizophrenia,suicide
Non-union,0.3566,EECLASS,schizophrenia,suicide
Union,0.4366,EECLASS,schizophrenia,suicide
Unknown,0.3499,EECLASS,schizophrenia,suicide
Salary Union,0.3679,EECLASS,schizophrenia,suicide
Salary Other,0.2915,EECLASS,schizophrenia,suicide
Hourly Other,0.2871,EECLASS,schizophrenia,suicide
Active Full Time,0.0774,EESTATU,schizophrenia,suicide
Early Retiree,0.248,EESTATU,schizophrenia,suicide
Medicare Eligible Retiree,0.2845,EESTATU,schizophrenia,suicide
COBRA Continuee,0.2621,EESTATU,schizophrenia,suicide
Active Part Time or Seasonal,0.2499,EESTATU,schizophrenia,suicide
Retiree (status unknown),0.0834,EESTATU,schizophrenia,suicide
Long Term Disability,0.0662,EESTATU,schizophrenia,suicide
Surviving Spouse/Depend.,0.3306,EESTATU,schizophrenia,suicide
Other/Unknown,0.2992,EESTATU,schizophrenia,suicide
"Manufacturing, Durable Goods",0.1399,INDSTRY,suicide,depression
"Manufacturing, Nondurable Goods",0.2722,INDSTRY,suicide,depression
"Transportation, Communications, Utilities",0.2243,INDSTRY,suicide,depression
"Finance, Insurance, Real Estate",0.1396,INDSTRY,suicide,depression
"Oil & Gas Extraction, Mining",0.3497,INDSTRY,suicide,depression
Retail Trade,0.1471,INDSTRY,suicide,depression
Services,0.4623,INDSTRY,suicide,depression
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,depression
Construction,0.3643,INDSTRY,suicide,depression
Wholesale,0.3461,INDSTRY,suicide,depression
Hourly Non-union,0.1084,EECLASS,suicide,depression
Hourly Union,0.491,EECLASS,suicide,depression
Union,0.1754,EECLASS,suicide,depression
Unknown,0.3893,EECLASS,suicide,depression
Salary Non-union,0.1138,EECLASS,suicide,depression
Salary Union,0.2468,EECLASS,suicide,depression
Salary Other,0.3653,EECLASS,suicide,depression
Hourly Other,0.3442,EECLASS,suicide,depression
Non-union,0.1685,EECLASS,suicide,depression
Active Full Time,0.1886,EESTATU,suicide,depression
Active Part Time or Seasonal,0.135,EESTATU,suicide,depression
Early Retiree,-0.0411,EESTATU,suicide,depression
Medicare Eligible Retiree,0.2451,EESTATU,suicide,depression
Retiree (status unknown),0.2892,EESTATU,suicide,depression
COBRA Continuee,-0.0099,EESTATU,suicide,depression
Long Term Disability,0.0541,EESTATU,suicide,depression
Surviving Spouse/Depend.,0.2678,EESTATU,suicide,depression
Other/Unknown,0.0365,EESTATU,suicide,depression
"Manufacturing, Durable Goods",-0.0293,INDSTRY,suicide,regional_enteritis
"Manufacturing, Nondurable Goods",0.2141,INDSTRY,suicide,regional_enteritis
"Transportation, Communications, Utilities",0.0333,INDSTRY,suicide,regional_enteritis
"Finance, Insurance, Real Estate",0.2067,INDSTRY,suicide,regional_enteritis
"Oil & Gas Extraction, Mining",0.4925,INDSTRY,suicide,regional_enteritis
Retail Trade,0.125,INDSTRY,suicide,regional_enteritis
Services,0.4983,INDSTRY,suicide,regional_enteritis
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,regional_enteritis
Construction,0.5152,INDSTRY,suicide,regional_enteritis
Wholesale,-0.1158,INDSTRY,suicide,regional_enteritis
Hourly Non-union,0.0493,EECLASS,suicide,regional_enteritis
Hourly Union,0.4357,EECLASS,suicide,regional_enteritis
Union,0.4136,EECLASS,suicide,regional_enteritis
Unknown,0.261,EECLASS,suicide,regional_enteritis
Salary Non-union,-0.133,EECLASS,suicide,regional_enteritis
Salary Union,0.2865,EECLASS,suicide,regional_enteritis
Salary Other,0.29,EECLASS,suicide,regional_enteritis
Hourly Other,0.0576,EECLASS,suicide,regional_enteritis
Non-union,0.4327,EECLASS,suicide,regional_enteritis
Active Full Time,0.109,EESTATU,suicide,regional_enteritis
Active Part Time or Seasonal,0.24,EESTATU,suicide,regional_enteritis
Early Retiree,-0.0242,EESTATU,suicide,regional_enteritis
Medicare Eligible Retiree,0.2854,EESTATU,suicide,regional_enteritis
Retiree (status unknown),0.255,EESTATU,suicide,regional_enteritis
COBRA Continuee,0.0459,EESTATU,suicide,regional_enteritis
Long Term Disability,0.0438,EESTATU,suicide,regional_enteritis
Surviving Spouse/Depend.,0.0094,EESTATU,suicide,regional_enteritis
Other/Unknown,0.152,EESTATU,suicide,regional_enteritis
"Manufacturing, Durable Goods",0.1647,INDSTRY,suicide,alcohol_dependence
"Manufacturing, Nondurable Goods",0.3247,INDSTRY,suicide,alcohol_dependence
"Transportation, Communications, Utilities",0.1695,INDSTRY,suicide,alcohol_dependence
"Finance, Insurance, Real Estate",-0.0406,INDSTRY,suicide,alcohol_dependence
"Oil & Gas Extraction, Mining",0.3942,INDSTRY,suicide,alcohol_dependence
Retail Trade,0.198,INDSTRY,suicide,alcohol_dependence
Services,0.3603,INDSTRY,suicide,alcohol_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,alcohol_dependence
Construction,0.3949,INDSTRY,suicide,alcohol_dependence
Wholesale,0.1899,INDSTRY,suicide,alcohol_dependence
Hourly Non-union,0.1062,EECLASS,suicide,alcohol_dependence
Hourly Union,0.511,EECLASS,suicide,alcohol_dependence
Union,0.1995,EECLASS,suicide,alcohol_dependence
Unknown,0.2473,EECLASS,suicide,alcohol_dependence
Salary Non-union,0.2703,EECLASS,suicide,alcohol_dependence
Salary Union,0.2145,EECLASS,suicide,alcohol_dependence
Salary Other,0.3079,EECLASS,suicide,alcohol_dependence
Hourly Other,0.1012,EECLASS,suicide,alcohol_dependence
Non-union,0.1533,EECLASS,suicide,alcohol_dependence
Active Full Time,0.1729,EESTATU,suicide,alcohol_dependence
Active Part Time or Seasonal,0.3361,EESTATU,suicide,alcohol_dependence
Early Retiree,0.0778,EESTATU,suicide,alcohol_dependence
Medicare Eligible Retiree,0.2672,EESTATU,suicide,alcohol_dependence
Retiree (status unknown),0.2882,EESTATU,suicide,alcohol_dependence
COBRA Continuee,0.0709,EESTATU,suicide,alcohol_dependence
Long Term Disability,0.0954,EESTATU,suicide,alcohol_dependence
Surviving Spouse/Depend.,-0.077,EESTATU,suicide,alcohol_dependence
Other/Unknown,0.057,EESTATU,suicide,alcohol_dependence
"Manufacturing, Durable Goods",0.2095,INDSTRY,suicide,anxiety
"Manufacturing, Nondurable Goods",0.2128,INDSTRY,suicide,anxiety
"Transportation, Communications, Utilities",0.3273,INDSTRY,suicide,anxiety
"Finance, Insurance, Real Estate",0.1437,INDSTRY,suicide,anxiety
"Oil & Gas Extraction, Mining",0.3684,INDSTRY,suicide,anxiety
Retail Trade,0.1178,INDSTRY,suicide,anxiety
Services,0.3524,INDSTRY,suicide,anxiety
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,anxiety
Construction,0.4121,INDSTRY,suicide,anxiety
Wholesale,0.3131,INDSTRY,suicide,anxiety
Hourly Non-union,0.1718,EECLASS,suicide,anxiety
Hourly Union,0.5062,EECLASS,suicide,anxiety
Union,0.3342,EECLASS,suicide,anxiety
Unknown,0.2695,EECLASS,suicide,anxiety
Salary Non-union,0.108,EECLASS,suicide,anxiety
Salary Union,0.2876,EECLASS,suicide,anxiety
Salary Other,0.2321,EECLASS,suicide,anxiety
Hourly Other,0.3114,EECLASS,suicide,anxiety
Non-union,0.3186,EECLASS,suicide,anxiety
Active Full Time,0.1969,EESTATU,suicide,anxiety
Active Part Time or Seasonal,-0.0321,EESTATU,suicide,anxiety
Early Retiree,0.1282,EESTATU,suicide,anxiety
Medicare Eligible Retiree,0.2636,EESTATU,suicide,anxiety
Retiree (status unknown),0.2473,EESTATU,suicide,anxiety
COBRA Continuee,0.0557,EESTATU,suicide,anxiety
Long Term Disability,-0.0249,EESTATU,suicide,anxiety
Surviving Spouse/Depend.,0.0545,EESTATU,suicide,anxiety
Other/Unknown,-0.1344,EESTATU,suicide,anxiety
"Manufacturing, Durable Goods",0.0857,INDSTRY,suicide,bipolar
"Manufacturing, Nondurable Goods",0.2686,INDSTRY,suicide,bipolar
"Transportation, Communications, Utilities",0.1182,INDSTRY,suicide,bipolar
"Finance, Insurance, Real Estate",0.2223,INDSTRY,suicide,bipolar
"Oil & Gas Extraction, Mining",0.4543,INDSTRY,suicide,bipolar
Retail Trade,0.3068,INDSTRY,suicide,bipolar
Services,0.5079,INDSTRY,suicide,bipolar
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,bipolar
Construction,0.5152,INDSTRY,suicide,bipolar
Wholesale,0.0889,INDSTRY,suicide,bipolar
Hourly Non-union,0.1786,EECLASS,suicide,bipolar
Hourly Union,0.5622,EECLASS,suicide,bipolar
Union,0.3525,EECLASS,suicide,bipolar
Unknown,0.3262,EECLASS,suicide,bipolar
Salary Non-union,0.3613,EECLASS,suicide,bipolar
Salary Union,0.2914,EECLASS,suicide,bipolar
Salary Other,0.3292,EECLASS,suicide,bipolar
Hourly Other,0.3514,EECLASS,suicide,bipolar
Non-union,0.184,EECLASS,suicide,bipolar
Active Full Time,-0.0465,EESTATU,suicide,bipolar
Active Part Time or Seasonal,0.4211,EESTATU,suicide,bipolar
Early Retiree,0.0456,EESTATU,suicide,bipolar
Medicare Eligible Retiree,0.2233,EESTATU,suicide,bipolar
Retiree (status unknown),0.2813,EESTATU,suicide,bipolar
COBRA Continuee,-0.0391,EESTATU,suicide,bipolar
Long Term Disability,-0.1092,EESTATU,suicide,bipolar
Surviving Spouse/Depend.,0.2357,EESTATU,suicide,bipolar
Other/Unknown,0.0587,EESTATU,suicide,bipolar
"Manufacturing, Durable Goods",0.2422,INDSTRY,suicide,diabetes
"Manufacturing, Nondurable Goods",0.3107,INDSTRY,suicide,diabetes
"Transportation, Communications, Utilities",0.1918,INDSTRY,suicide,diabetes
"Finance, Insurance, Real Estate",0.2084,INDSTRY,suicide,diabetes
"Oil & Gas Extraction, Mining",0.3764,INDSTRY,suicide,diabetes
Retail Trade,0.0311,INDSTRY,suicide,diabetes
Services,0.5925,INDSTRY,suicide,diabetes
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,diabetes
Construction,0.3465,INDSTRY,suicide,diabetes
Wholesale,-0.0453,INDSTRY,suicide,diabetes
Hourly Non-union,0.1972,EECLASS,suicide,diabetes
Hourly Union,0.5489,EECLASS,suicide,diabetes
Union,0.2067,EECLASS,suicide,diabetes
Unknown,0.3723,EECLASS,suicide,diabetes
Salary Non-union,0.2425,EECLASS,suicide,diabetes
Salary Union,0.2521,EECLASS,suicide,diabetes
Salary Other,0.3794,EECLASS,suicide,diabetes
Hourly Other,0.1267,EECLASS,suicide,diabetes
Non-union,0.3846,EECLASS,suicide,diabetes
Active Full Time,0.3212,EESTATU,suicide,diabetes
Active Part Time or Seasonal,0.2971,EESTATU,suicide,diabetes
Early Retiree,0.1209,EESTATU,suicide,diabetes
Medicare Eligible Retiree,0.2396,EESTATU,suicide,diabetes
Retiree (status unknown),0.3184,EESTATU,suicide,diabetes
COBRA Continuee,-0.2621,EESTATU,suicide,diabetes
Long Term Disability,-0.1119,EESTATU,suicide,diabetes
Surviving Spouse/Depend.,0.1321,EESTATU,suicide,diabetes
Other/Unknown,0.2449,EESTATU,suicide,diabetes
"Manufacturing, Durable Goods",0.1597,INDSTRY,suicide,drug_dependence
"Manufacturing, Nondurable Goods",0.2864,INDSTRY,suicide,drug_dependence
"Transportation, Communications, Utilities",0.0721,INDSTRY,suicide,drug_dependence
"Finance, Insurance, Real Estate",0.0687,INDSTRY,suicide,drug_dependence
"Oil & Gas Extraction, Mining",0.3664,INDSTRY,suicide,drug_dependence
Retail Trade,0.1111,INDSTRY,suicide,drug_dependence
Services,0.617,INDSTRY,suicide,drug_dependence
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,drug_dependence
Construction,0.2864,INDSTRY,suicide,drug_dependence
Wholesale,0.1591,INDSTRY,suicide,drug_dependence
Hourly Non-union,0.1981,EECLASS,suicide,drug_dependence
Hourly Union,0.5698,EECLASS,suicide,drug_dependence
Union,0.3708,EECLASS,suicide,drug_dependence
Unknown,0.457,EECLASS,suicide,drug_dependence
Salary Non-union,0.2179,EECLASS,suicide,drug_dependence
Salary Union,0.2186,EECLASS,suicide,drug_dependence
Salary Other,0.3589,EECLASS,suicide,drug_dependence
Hourly Other,0.123,EECLASS,suicide,drug_dependence
Non-union,0.1862,EECLASS,suicide,drug_dependence
Active Full Time,0.3593,EESTATU,suicide,drug_dependence
Active Part Time or Seasonal,0.0797,EESTATU,suicide,drug_dependence
Early Retiree,0.0374,EESTATU,suicide,drug_dependence
Medicare Eligible Retiree,0.2686,EESTATU,suicide,drug_dependence
Retiree (status unknown),0.3245,EESTATU,suicide,drug_dependence
COBRA Continuee,-0.1132,EESTATU,suicide,drug_dependence
Long Term Disability,0.0405,EESTATU,suicide,drug_dependence
Surviving Spouse/Depend.,0.1632,EESTATU,suicide,drug_dependence
Other/Unknown,-0.0615,EESTATU,suicide,drug_dependence
"Manufacturing, Durable Goods",0.2512,INDSTRY,suicide,hypertension
"Manufacturing, Nondurable Goods",0.3572,INDSTRY,suicide,hypertension
"Transportation, Communications, Utilities",0.2233,INDSTRY,suicide,hypertension
"Finance, Insurance, Real Estate",0.2473,INDSTRY,suicide,hypertension
"Oil & Gas Extraction, Mining",0.349,INDSTRY,suicide,hypertension
Retail Trade,0.0652,INDSTRY,suicide,hypertension
Services,0.6403,INDSTRY,suicide,hypertension
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,hypertension
Construction,0.27,INDSTRY,suicide,hypertension
Wholesale,0.1311,INDSTRY,suicide,hypertension
Hourly Non-union,0.0655,EECLASS,suicide,hypertension
Hourly Union,0.6133,EECLASS,suicide,hypertension
Union,0.233,EECLASS,suicide,hypertension
Unknown,0.4392,EECLASS,suicide,hypertension
Salary Non-union,0.2224,EECLASS,suicide,hypertension
Salary Union,0.2234,EECLASS,suicide,hypertension
Salary Other,0.3761,EECLASS,suicide,hypertension
Hourly Other,0.1677,EECLASS,suicide,hypertension
Non-union,0.3421,EECLASS,suicide,hypertension
Active Full Time,0.3014,EESTATU,suicide,hypertension
Active Part Time or Seasonal,0.1181,EESTATU,suicide,hypertension
Early Retiree,0.0996,EESTATU,suicide,hypertension
Medicare Eligible Retiree,0.2337,EESTATU,suicide,hypertension
Retiree (status unknown),0.3328,EESTATU,suicide,hypertension
COBRA Continuee,-0.053,EESTATU,suicide,hypertension
Long Term Disability,-0.0496,EESTATU,suicide,hypertension
Surviving Spouse/Depend.,0.189,EESTATU,suicide,hypertension
Other/Unknown,0.2955,EESTATU,suicide,hypertension
"Manufacturing, Durable Goods",0.1848,INDSTRY,suicide,lipid_metabolism
"Manufacturing, Nondurable Goods",0.3244,INDSTRY,suicide,lipid_metabolism
"Transportation, Communications, Utilities",0.1323,INDSTRY,suicide,lipid_metabolism
"Finance, Insurance, Real Estate",0.0882,INDSTRY,suicide,lipid_metabolism
"Oil & Gas Extraction, Mining",0.3731,INDSTRY,suicide,lipid_metabolism
Retail Trade,0.0104,INDSTRY,suicide,lipid_metabolism
Services,0.5197,INDSTRY,suicide,lipid_metabolism
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,lipid_metabolism
Construction,0.2932,INDSTRY,suicide,lipid_metabolism
Wholesale,-0.1131,INDSTRY,suicide,lipid_metabolism
Hourly Non-union,0.0445,EECLASS,suicide,lipid_metabolism
Hourly Union,0.5313,EECLASS,suicide,lipid_metabolism
Union,0.2576,EECLASS,suicide,lipid_metabolism
Unknown,0.4398,EECLASS,suicide,lipid_metabolism
Salary Non-union,0.115,EECLASS,suicide,lipid_metabolism
Salary Union,0.2859,EECLASS,suicide,lipid_metabolism
Salary Other,0.26,EECLASS,suicide,lipid_metabolism
Hourly Other,0.1245,EECLASS,suicide,lipid_metabolism
Non-union,0.2661,EECLASS,suicide,lipid_metabolism
Active Full Time,0.229,EESTATU,suicide,lipid_metabolism
Active Part Time or Seasonal,-0.1246,EESTATU,suicide,lipid_metabolism
Early Retiree,0.0395,EESTATU,suicide,lipid_metabolism
Medicare Eligible Retiree,0.1958,EESTATU,suicide,lipid_metabolism
Retiree (status unknown),0.3591,EESTATU,suicide,lipid_metabolism
COBRA Continuee,-0.0233,EESTATU,suicide,lipid_metabolism
Long Term Disability,-0.0414,EESTATU,suicide,lipid_metabolism
Surviving Spouse/Depend.,0.1254,EESTATU,suicide,lipid_metabolism
Other/Unknown,-0.0562,EESTATU,suicide,lipid_metabolism
"Manufacturing, Durable Goods",0.1715,INDSTRY,suicide,obesity
"Manufacturing, Nondurable Goods",0.2012,INDSTRY,suicide,obesity
"Transportation, Communications, Utilities",0.1815,INDSTRY,suicide,obesity
"Finance, Insurance, Real Estate",0.2344,INDSTRY,suicide,obesity
"Oil & Gas Extraction, Mining",0.4176,INDSTRY,suicide,obesity
Retail Trade,0.0215,INDSTRY,suicide,obesity
Services,0.6336,INDSTRY,suicide,obesity
"Agriculture, Forestry, Fishing",NA,INDSTRY,suicide,obesity
Construction,0.3205,INDSTRY,suicide,obesity
Wholesale,0.1351,INDSTRY,suicide,obesity
Hourly Non-union,0.022,EECLASS,suicide,obesity
Hourly Union,0.5484,EECLASS,suicide,obesity
Union,0.2883,EECLASS,suicide,obesity
Unknown,0.4207,EECLASS,suicide,obesity
Salary Non-union,0.2145,EECLASS,suicide,obesity
Salary Union,0.272,EECLASS,suicide,obesity
Salary Other,0.4133,EECLASS,suicide,obesity
Hourly Other,0.2655,EECLASS,suicide,obesity
Non-union,0.3316,EECLASS,suicide,obesity
Active Full Time,0.4044,EESTATU,suicide,obesity
Active Part Time or Seasonal,0.1658,EESTATU,suicide,obesity
Early Retiree,0.1173,EESTATU,suicide,obesity
Medicare Eligible Retiree,0.2567,EESTATU,suicide,obesity
Retiree (status unknown),0.2714,EESTATU,suicide,obesity
COBRA Continuee,-0.1632,EESTATU,suicide,obesity
Long Term Disability,-0.066,EESTATU,suicide,obesity
Surviving Spouse/Depend.,0.1074,EESTATU,suicide,obesity
Other/Unknown,0.2611,EESTATU,suicide,obesity
"Manufacturing, Durable Goods",0.2471,INDSTRY,suicide,schizophrenia
"Manufacturing, Nondurable Goods",0.3102,INDSTRY,suicide,schizophrenia
"Transportation, Communications, Utilities",0.1978,INDSTRY,suicide,schizophrenia
"Finance, Insurance, Real Estate",0.214,INDSTRY,suicide,schizophrenia
